audio_file|text
0007/Angry/0007_000545.wav|我以为你们国家的人都是麻将高手。
0009/Angry/0009_000515.wav|其实我们前天已经分手了。
0008/Angry/0008_000457.wav|我的表两点四十二。可是它有点快。
0004/Angry/0004_000642.wav|哪天我也许得和他谈谈。
0014/Angry/0014_000528.wav|And vowed he'd change the pigtail's place.
0017/Angry/0017_000592.wav|Give me your hand or I will cry harder than before.
0011/Angry/0011_000424.wav|Come on my jack in the boxes!
0016/Angry/0016_000451.wav|It's me PigLit, help help!
0001/Angry/0001_000422.wav|资料全都不见了。气死我了。
0004/Angry/0004_000538.wav|以后我要经常来这儿爬山。
0012/Angry/0012_000456.wav|I guess it's a choice feast.
0002/Angry/0002_000697.wav|这两块是唐朝不同时期铸造的。
0010/Angry/0010_000561.wav|我对养花已经厌倦了。
0007/Angry/0007_000396.wav|我们可以轮流开车。
0017/Angry/0017_000602.wav|I am run off my feet.
0013/Angry/0013_000499.wav|My winding sheet!
0018/Angry/0018_000597.wav|She and i are running a neck and neck race.
0003/Angry/0003_000617.wav|这可是我学会的第一首古诗。
0011/Angry/0011_000563.wav|Let it give us a chance, my precious.
0006/Angry/0006_000625.wav|然后再找一个音乐播放器，
0015/Angry/0015_000389.wav|Our thanks to God's oath.
0006/Angry/0006_000543.wav|带女友出去好好吃上一顿。
0011/Angry/0011_000597.wav|She and i are running a neck and neck race.
0015/Angry/0015_000397.wav|please excuse me.
0018/Angry/0018_000470.wav|Our King George is labourers.
0011/Angry/0011_000353.wav|That I owe my thanks to you.
0019/Angry/0019_000381.wav|All smile were real and the happier，the more sincere .
0018/Angry/0018_000487.wav|Let the glass globe be.
0008/Angry/0008_000550.wav|我已经习惯这种气候了。
0008/Angry/0008_000625.wav|然后再找一个音乐播放器，
0009/Angry/0009_000615.wav|我必须再次感谢您的慷慨相助。
0014/Angry/0014_000481.wav|It must come sometimes to jam a day.
0009/Angry/0009_000395.wav|我知道人生并不总是一帆风顺，
0016/Angry/0016_000614.wav|Slam the doors and wedge them!
0004/Angry/0004_000583.wav|拜托，别跟我提到笔记本电脑。
0018/Angry/0018_000528.wav|And vowed he'd change the pigtail's place.
0005/Angry/0005_000605.wav|最初我的工作是当一名佣人。
0010/Angry/0010_000499.wav|你好，布赖恩，正好四点。
0007/Angry/0007_000574.wav|这个对我来说有点难！
0011/Angry/0011_000655.wav|The fisherman and his wife see George every day.
0006/Angry/0006_000412.wav|我是顺路过来跟你告别的。
0007/Angry/0007_000681.wav|于是我就问她能不能连我的票买了。
0008/Angry/0008_000697.wav|这两块是唐朝不同时期铸造成的。
0004/Angry/0004_000678.wav|我们下午可以在湖里划船。
0012/Angry/0012_000693.wav|And what does it mean?
0003/Angry/0003_000639.wav|不会，不过我很喜欢单板滑雪。
0017/Angry/0017_000552.wav|that sounds good.
0009/Angry/0009_000356.wav|我喜欢“北京欢迎你”。
0011/Angry/0011_000365.wav|Poor Tom now is dead!
0009/Angry/0009_000377.wav|工厂不把它直接排到大气中。
0014/Angry/0014_000454.wav|Here am i whom you seek.
0012/Angry/0012_000544.wav|Yes, I miss her.
0020/Angry/0020_000690.wav|So Tom saw night as it were broad daylight.
0009/Angry/0009_000591.wav|请勿进入竹林。不让进。
0014/Angry/0014_000569.wav|But the tune isn't his own invention.
0007/Angry/0007_000525.wav|她此刻失业了，你最好不要惹她。
0012/Angry/0012_000360.wav|A nauseous draught.
0005/Angry/0005_000654.wav|我刚从苏格兰回来。
0018/Angry/0018_000496.wav|He said to Jack, the chatterer.
0002/Angry/0002_000371.wav|已经播至该专辑最后一个声音。
0005/Angry/0005_000677.wav|我讨厌吃醋，偶是不懂，你懂。
0017/Angry/0017_000609.wav|The song is called Ways and Means.
0014/Angry/0014_000585.wav|If not, I shall go no further.
0008/Angry/0008_000419.wav|以后不要喝那么多了，伤身体。
0018/Angry/0018_000424.wav|Come on my jack in the boxes!
0001/Angry/0001_000504.wav|我还不会说其他外语，只会普通话。
0012/Angry/0012_000569.wav|But the tune isn't his own invention.
0007/Angry/0007_000543.wav|带女友出去好好吃上一顿。
0012/Angry/0012_000533.wav|Fresh pain seized Paul's body.
0011/Angry/0011_000510.wav|Kitty, you play chess?
0018/Angry/0018_000686.wav|Over them swooped the eagles.
0014/Angry/0014_000447.wav|Confess that you opened the thirteenth door.
0018/Angry/0018_000378.wav|She had said, so that one could keep up a conversation!
0004/Angry/0004_000586.wav|我不需要嗅觉，所以没有鼻子。
0013/Angry/0013_000636.wav|One two three, where is your breakfast.
0019/Angry/0019_000611.wav|After a while he perceived both giants.
0013/Angry/0013_000632.wav|Alice I won't forget it again.
0004/Angry/0004_000371.wav|已经播至该专辑最后一个声音。
0017/Angry/0017_000361.wav|Chapter ten a warm welcome.
0016/Angry/0016_000562.wav|No thank you.
0014/Angry/0014_000357.wav|I'm as bad as I can be.
0007/Angry/0007_000477.wav|你说我们在芝加哥要待三天的。
0009/Angry/0009_000577.wav|我真受不了城里那么大的噪音。
0016/Angry/0016_000419.wav|Not much use is it, Sam?
0002/Angry/0002_000578.wav|好的。新的音乐厅有一场音乐会。
0007/Angry/0007_000561.wav|我对养花已经厌倦了。
0007/Angry/0007_000539.wav|我是一名教师，你可是好眼光。
0018/Angry/0018_000365.wav|Poor Tom now is dead!
0003/Angry/0003_000658.wav|我去查查篮球相关的知识。
0018/Angry/0018_000466.wav|No, I burst the balloon!
0011/Angry/0011_000622.wav|No admittance except on party business.
0003/Angry/0003_000400.wav|每次叫我都不给红包，不开心。
0018/Angry/0018_000404.wav|Are you a regular darkey really?
0009/Angry/0009_000367.wav|很快你上大学就用得到了。
0010/Angry/0010_000638.wav|我随时都在，有没有梦到我。
0015/Angry/0015_000635.wav|The straw, charcoal and the pea.
0005/Angry/0005_000440.wav|还不太糟糕，但是得躺在床上。
0015/Angry/0015_000492.wav|Wake now my merry tads!
0008/Angry/0008_000601.wav|没看过小说，只有人类才需要。
0013/Angry/0013_000357.wav|I'm as bad as I can be.
0012/Angry/0012_000478.wav|Put that rude grasshopper in jail!
0001/Angry/0001_000413.wav|你知道我很努力地在戒酒。
0002/Angry/0002_000438.wav|香港海洋公园，主人快带我去。
0015/Angry/0015_000558.wav|However, somebody killed something.
0012/Angry/0012_000502.wav|Guilty for what do you rule?
0019/Angry/0019_000556.wav|Still you owe it a duty.
0003/Angry/0003_000544.wav|炖肉一小时，剩余三十分钟十八秒。
0016/Angry/0016_000696.wav|I am going to back home.
0018/Angry/0018_000572.wav|Ask god to help you.
0012/Angry/0012_000625.wav|You shouldn't have pricked him with your horn.
0015/Angry/0015_000493.wav|Pussy can sit by the fire and sing.
0005/Angry/0005_000439.wav|是个冰淇淋，桃花确实很漂亮。
0013/Angry/0013_000518.wav|I said you looked like an egg, sir.
0010/Angry/0010_000458.wav|让我们看看哪一种球技比较好。
0005/Angry/0005_000370.wav|前几天我碰见了一件有趣的事儿。
