audio_file|text
0007/Happy/0007_000840.wav|我也知道自己是大嘴巴。
0009/Happy/0009_000895.wav|我以为你们国家的人都是麻将高手。
0008/Happy/0008_000742.wav|我会暖被窝了，逗你的。
0004/Happy/0004_000997.wav|三个，两个儿子一个女儿。
0014/Happy/0014_001044.wav|Lucy, a clever farmer.
0017/Happy/0017_000953.wav|I have a soothsayer.
0011/Happy/0011_000973.wav|I'd just as soon swim your way as others do.
0016/Happy/0016_000925.wav|Her existence makes him pleasant.
0001/Happy/0001_000883.wav|你绝对猜不到她准备要孩子了。
0004/Happy/0004_000778.wav|它们的设计外形小巧，可单手操作。
0012/Happy/0012_000954.wav|She laughed.
0002/Happy/0002_000793.wav|别不好意思。再多吃些鸡肉。
0010/Happy/0010_000857.wav|你知道，有时候病人会不讲理。
0007/Happy/0007_000848.wav|有事记得喊我。
0017/Happy/0017_000956.wav|I must have two to fetch and carry.
0013/Happy/0013_000971.wav|I say I will be emperor.
0018/Happy/0018_000889.wav|When such wanderers meet.
0003/Happy/0003_000865.wav|其实我们前天已经分手了。
0011/Happy/0011_000768.wav|I do not eat bread.
0006/Happy/0006_000957.wav|这是我在旅游第四天拍的。
0015/Happy/0015_001026.wav|They are made of wood.
0006/Happy/0006_000988.wav|我随时都在，有没有梦到我。
0011/Happy/0011_000782.wav|A fair jaw cracker dwarf language must be!
0015/Happy/0015_001017.wav|At length they came to a sharp bend.
0018/Happy/0018_000741.wav|I chose the right way.
0011/Happy/0011_000790.wav|And they did push so!
0019/Happy/0019_000780.wav|Then there was a report.
0018/Happy/0018_000968.wav|He showed no signs of age.
0008/Happy/0008_000846.wav|现在，我仍然有点紧张。
0008/Happy/0008_000930.wav|那不打扰你了，我不敢约出去。
0009/Happy/0009_000798.wav|我只会斗斗地主什么的。
0014/Happy/0014_000805.wav|He was killed by an arrow.
0009/Happy/0009_000936.wav|我不需要嗅觉，所以没有鼻子。
0016/Happy/0016_001013.wav|Give me a fine fat goose.
0004/Happy/0004_000851.wav|我也最喜欢你，不要开枪。我投降
0018/Happy/0018_000949.wav|You may imagine how I gape.
0005/Happy/0005_000813.wav|玛丽，你看来很喜欢挖苦我。
0010/Happy/0010_001025.wav|尽管提意见，我会改正的。
0007/Happy/0007_000958.wav|这句话的意义我不太明白。
0011/Happy/0011_000943.wav|And has you slain him?
0006/Happy/0006_000714.wav|谁你也不认识，我很乐意帮助你。
0007/Happy/0007_000937.wav|雪下得真大，带着我去购物。
0008/Happy/0008_000788.wav|香港海洋公园，主人快带我去。
0004/Happy/0004_000891.wav|别问了！说多了都是眼泪！
0012/Happy/0012_000752.wav|From August eighteenth, of their divorce.
0003/Happy/0003_000985.wav|自己保重，记得要常联系。
0017/Happy/0017_000990.wav|There goes the shawl again!
0009/Happy/0009_000960.wav|我很伤心，我准备去网吧。
0011/Happy/0011_000946.wav|We can not do it sir.
0009/Happy/0009_000736.wav|我必须一直通电才能工作。
0014/Happy/0014_000947.wav|She and i are running a neck and neck race.
0012/Happy/0012_000725.wav|She is now choosing skirt to wear.
0020/Happy/0020_000793.wav|To buy two pork chops.
0009/Happy/0009_000887.wav|我们一起为他办个惊喜派对。
0014/Happy/0014_000804.wav|Here am i whom you seek.
0007/Happy/0007_000839.wav|他们的配合值得我们学习
0012/Happy/0012_000893.wav|Please hire me after you.
