audio_file|text
0007/Sad/0007_001165.wav|真是个好习惯，通常看书或消遣。
0009/Sad/0009_001152.wav|我昨天遇到马克，他看起来很忧郁。
0008/Sad/0008_001378.wav|我们下午可以在湖里划船。
0004/Sad/0004_001203.wav|我们还等什么
0014/Sad/0014_001070.wav|At the roots-of a bush of a grass.
0017/Sad/0017_001211.wav|That's a full grown colt.
0011/Sad/0011_001357.wav|I owe them five hundred dollars.
0016/Sad/0016_001392.wav|Why should I purchase my own?
0001/Sad/0001_001333.wav|我想所有中国人都会打乒乓球。
0004/Sad/0004_001325.wav|然后再找一个音乐播放器，
0012/Sad/0012_001101.wav|Said the American to Chinese.
0002/Sad/0002_001215.wav|其实我们前天已经分手了。
0010/Sad/0010_001094.wav|比方说，“华尔街日报”就很好。
0007/Sad/0007_001093.wav|这样的话，我们可以选择青年旅馆。
0017/Sad/0017_001074.wav|The football teams give a tea party.
0013/Sad/0013_001100.wav|Rabbit gave dog a hurrying up sort of nudge.
0018/Sad/0018_001353.wav|I am loath to see him go.
0003/Sad/0003_001308.wav|这句话的意义我不太明白。
0011/Sad/0011_001360.wav|Why is just like the round egg which sounds thin.
0006/Sad/0006_001131.wav|这个镇上所有的人都喜欢扯闲话。
0015/Sad/0015_001070.wav|At the roots-of a bush of a grass.
0006/Sad/0006_001221.wav|你这个小气鬼，很不幸，非常少。
0011/Sad/0011_001202.wav|Guilty for what do you rule?
0015/Sad/0015_001063.wav|I have bunburyed all over goat on two separate occasions.
0018/Sad/0018_001364.wav|Bob goes to a new school.
0011/Sad/0011_001087.wav|I think it'll encourage me.
0019/Sad/0019_001157.wav|Tom and Michael woke up next morning.
0018/Sad/0018_001396.wav|I am going to back home.
0008/Sad/0008_001373.wav|他对谁都那么友好。
0008/Sad/0008_001134.wav|他好像跟他的秘书有过一腿。
0009/Sad/0009_001297.wav|没有为什么就是要等我。
0014/Sad/0014_001165.wav|He might call it, for example.
0009/Sad/0009_001114.wav|我告退了，晚上回去拍给你。
0016/Sad/0016_001065.wav|Poor Tom now is dead!
0004/Sad/0004_001226.wav|带上你的家人，但是他有丑闻。
0018/Sad/0018_001293.wav|And has you slain him?
0005/Sad/0005_001150.wav|就经常去我们宿舍附近的酒吧。
0010/Sad/0010_001218.wav|你得先回答我，你最喜欢谁。
0007/Sad/0007_001277.wav|我真受不了城里那么大的噪音。
0011/Sad/0011_001097.wav|please excuse me.
0006/Sad/0006_001384.wav|我曾经养过，我太高兴了。
0007/Sad/0007_001242.wav|如果我滚远了就回不来了。
0008/Sad/0008_001224.wav|他在这次竞选活动中花了数百万，
0004/Sad/0004_001368.wav|下午好，蒂娜，我想我问错人了。
0012/Sad/0012_001070.wav|At the roots-of a bush of a grass.
0003/Sad/0003_001370.wav|谢谢你来这里，告诉我详细一些。
0017/Sad/0017_001265.wav|He likes dragons very much.
0009/Sad/0009_001272.wav|我的老朋友汉森就住在伦敦。
0011/Sad/0011_001137.wav|A hippo lives in the zoo.
0009/Sad/0009_001121.wav|只要令人鼓舞的电影我都喜欢。
0014/Sad/0014_001052.wav|I did go, and made many prisoners.
0012/Sad/0012_001319.wav|But show me now your map!
0020/Sad/0020_001318.wav|He showed no signs of age.
0009/Sad/0009_001187.wav|也许能帮助你把事情弄清楚。
0014/Sad/0014_001255.wav|Fear neither root nor sprout!
0007/Sad/0007_001187.wav|也许能帮助你把事情弄清楚。
0012/Sad/0012_001302.wav|I am run off my feet.
0005/Sad/0005_001181.wav|吝啬鬼！他每天还骑自行车上学！
0018/Sad/0018_001084.wav|A divine wrath made her blue eyes awful.
0002/Sad/0002_001231.wav|时间对珍尼来说是没有用的。
0005/Sad/0005_001226.wav|带上你的家人，但是他有丑闻。
0017/Sad/0017_001378.wav|It would be a hard choice.
0014/Sad/0014_001261.wav|From each cake, there sprang a huge dog.
0008/Sad/0008_001235.wav|今天真凉快，我希望主队输掉。
0018/Sad/0018_001315.wav|I've just shot a stag.
0001/Sad/0001_001244.wav|炖肉一小时，剩余三十分钟十八秒。
0012/Sad/0012_001280.wav|Your own wife is not at home.
0007/Sad/0007_001357.wav|有时内在美更加重要。
0012/Sad/0012_001373.wav|Why did I wake up!
0011/Sad/0011_001231.wav|First, issue a reward.
0018/Sad/0018_001080.wav|Must a name mean something?
0014/Sad/0014_001273.wav|Pick, pick, pick!
0018/Sad/0018_001099.wav|Then we all say aha!
0004/Sad/0004_001110.wav|坐地铁只需要大约二十分钟。
0013/Sad/0013_001122.wav|How are you, dear child?
0019/Sad/0019_001379.wav|And his heart wagged with joy like a lamb's tail.
0013/Sad/0013_001248.wav|I'd shoot myself. a pause.
0004/Sad/0004_001235.wav|今天真凉快，我希望主队输掉。
0017/Sad/0017_001311.wav|After a while he perceived both giants.
0016/Sad/0016_001209.wav|Such tunes are joy to a dancing fay.
0014/Sad/0014_001125.wav|I'd far rather go without them than eat them!
0007/Sad/0007_001218.wav|你得先回答我，你最喜欢谁。
0009/Sad/0009_001119.wav|以后不要喝那么多了，伤身体。
0016/Sad/0016_001375.wav|She has no place for hot pepper .
0002/Sad/0002_001372.wav|等待你的指令，随时可为你效劳。
0007/Sad/0007_001368.wav|下午好，蒂娜，我想我问错人了。
0007/Sad/0007_001149.wav|得了吧，别这么胆小啦。
0018/Sad/0018_001314.wav|Slam the doors and wedge them!
0003/Sad/0003_001094.wav|比如说，“华尔街日报”就很好。
0018/Sad/0018_001085.wav|The name really is the aged aged man.
0011/Sad/0011_001221.wav|I say neither yea nor nay.
0003/Sad/0003_001313.wav|也许反倒是件好事
0018/Sad/0018_001286.wav|How rash you are!
0009/Sad/0009_001128.wav|它们的设计外形小巧，可单手操作。
0010/Sad/0010_001064.wav|谁你也不认识，我很乐意帮助你。
0015/Sad/0015_001357.wav|I owe them five hundred dollars.
0005/Sad/0005_001113.wav|你知道我很努力地在戒酒。
0015/Sad/0015_001203.wav|But we are not high yet.
0008/Sad/0008_001189.wav|他们的配合值得我们学习
0013/Sad/0013_001159.wav|If they mother knew it.
0012/Sad/0012_001308.wav|Mum shuts one's mouth up, doesn't it.
0001/Sad/0001_001331.wav|晚安，么么哒，满天都是小星星。
0002/Sad/0002_001055.wav|我们乘船漂游了三峡，真是刺激。
0015/Sad/0015_001303.wav|I have a soothsayer.
0012/Sad/0012_001175.wav|To catch that bulrush root with my paw!
0019/Sad/0019_001194.wav|We all see panda on TV or in the zoo.
0003/Sad/0003_001317.wav|这可是我学会的第一首古诗。
0016/Sad/0016_001053.wav|That I owe my thanks to you.
0018/Sad/0018_001295.wav|Do you think it's a woozle?
0012/Sad/0012_001195.wav|Reed by the living pool!
0015/Sad/0015_001384.wav|Another one, ten thousand dollars.
0005/Sad/0005_001142.wav|不会这么凑巧吧！我也是十六。
0013/Sad/0013_001349.wav|His hope will cheat him.
0010/Sad/0010_001395.wav|别总是闲着，找点事情做呀。
0005/Sad/0005_001067.wav|很快你上大学就用得到了。
0015/Sad/0015_001096.wav|They'd never know I'd regular ran away.
0002/Sad/0002_001168.wav|你的同学把你给捉弄了吧。
0018/Sad/0018_001361.wav|I am safe back again.
0014/Sad/0014_001257.wav|What am I, I'm a racer, son of god.
0008/Sad/0008_001299.wav|我最好的朋友就约会过。
0005/Sad/0005_001096.wav|我们可以轮流开车。
0019/Sad/0019_001168.wav|Look out! said Alice.
0020/Sad/0020_001225.wav|All this have we won by our labour.
0012/Sad/0012_001202.wav|Guilty for what do you rule?
0008/Sad/0008_001155.wav|我们俩合不来，还经常吵架。
0012/Sad/0012_001170.wav|Our King George is labourers.
0019/Sad/0019_001165.wav|He might call it, for example.
0004/Sad/0004_001063.wav|周末的我，只忙着陪你。
0006/Sad/0006_001220.wav|这样你就有时间挥拍打球了。
0018/Sad/0018_001252.wav|that sounds good.
0020/Sad/0020_001278.wav|It says no way! shouted Daisy.
0012/Sad/0012_001162.wav|Clown, to call him joey.
0014/Sad/0014_001201.wav|All the way to China is home.
0012/Sad/0012_001320.wav|Chew leaves quickly, said rabbit.
0018/Sad/0018_001088.wav|Hold up my chin, slow and solid.
0019/Sad/0019_001164.wav|A half pounds of flour and two ounces suet.
0015/Sad/0015_001284.wav|Hurry up, hurry up!
0017/Sad/0017_001285.wav|If not, I shall go no further.
0001/Sad/0001_001329.wav|我想说我也这样认为的。
0005/Sad/0005_001165.wav|真是个好习惯，通常看书或消遣。
